"genename","age","percent","measurement"
"Ntrk2",15,0.0268734463514204,1
"Ntrk2",23,0.0370900161803949,0.0370815332980306
"Ntrk2",18,0.0232076857030517,0.712182770732027
"Olig2",11,0.00341633157914692,1
"Olig2",18,0.0031322040372156,0.199003718974497
"Olig2",13,0.000198570842826527,0
"Olig2",15,0.000656359032945318,0.40508161123261
"Olig2",23,0.0220718157235272,0.612092870132311
"Pax6",11,0.0166102423302716,1
"Pax6",23,0.00103096167349805,0.129124500395538
"Pax6",15,0.00111017541888457,0
"Pax6",18,0.00385707903954515,0.654649251708276
"Pax6",13,0.00141335615141195,0.635498537641304
"Pdgfra",11,0.00781120337416113,0.623279391702662
"Pdgfra",18,0.0135131716279719,1
"Pdgfra",23,0.00964429626649039,0.674158148024524
"Pdgfra",13,0.000489346585121003,0
"Pdgfra",15,0.00113049277551032,0.213081735206277
"Pdgfrb",11,0.0093749718266377,0.670361849072051
"Pdgfrb",13,0.00186843447630447,0.270190756923577
"Pdgfrb",18,0.0115637202045451,1
"Pdgfrb",15,0.000777330366859014,0
"Pdgfrb",23,0.00110403266608806,0.240334237546235
"Prom1",11,0.00147992502258233,0.435737855200752
"Prom1",23,0.000268145874010214,0.0177277814083125
"Prom1",15,0.00218073926542089,0.950800931300505
"Prom1",18,0.00203135031732088,1
"Prom1",13,0.000771682142069227,0
"Ptprc",11,0.00454281878490246,1
"Ptprc",18,0.000431858480764973,0
"Ptprc",15,0.00126038891440821,0.2276216095001
"Ptprc",23,0.00047939430564029,0.535218828022786
"Ptprc",13,0.0019628568505065,0.211586737289527
"Slc1a3",11,0.00101443780462977,0
"Slc1a3",23,0.0232816764620807,0.17109592037485
"Slc1a3",15,0.0227433329205111,1
"Slc1a3",13,0.00653389396029963,0.80487872688721
"Slc1a3",18,0.00770640396108622,0.428164691327378
"Sox10",11,0.00383412599675896,1
"Sox10",15,0.00013197270532591,0
"Sox10",23,0.00104490001889053,0.119883037509696
"Sox10",18,0.00556098456391207,0.139198372332971
"Sox10",13,5.60359816256535e-05,0.141798912331772
"Sox2",11,0.0491904664861987,0.909358049778306
"Sox2",18,0.0264993934943995,0.629626186155783
"Sox2",15,0.0153332596186185,0.582125175027
"Sox2",23,0.0070866106944924,0
"Sox2",13,0.0626055734670213,1
"Tbr1",11,0.00268088189483287,0.890205376458783
"Tbr1",15,0.00480492797733214,0.199035754682295
"Tbr1",18,0.000761582145628822,0.45798749294111
"Tbr1",23,0.0021088686758169,0
"Tbr1",13,0.000447206211492965,1
"Tubb3",11,0.0748697836454008,0.863717718934288
"Tubb3",13,0.0619759539449914,1
"Tubb3",15,0.0478691840241784,0.74362663201728
"Tubb3",23,0.0895847049172825,0
"Tubb3",18,0.0953266993546729,0.246202184504857
