"","marker","tissue","lag_minus_6","lag_minus_5","lag_minus_4","lag_minus_3","lag_minus_2","lag_minus_1","lag_0","lag_plus_1","lag_plus_2","lag_plus_3","lag_plus_4","lag_plus_5","lag_plus_6"
"17","Ctip2","telencephalon","0.0717466454210463","0.0590741211940119","-0.422835398611511","-0.533496941960989","-0.0464949992041848","0.146064621324104","0.198142413301457","0.657901642061365","0.733273403990636","0.0370482988168924","-0.214595737185154","-0.251620748211573","-0.227290909159884"
"18","Ctip2","diencephalon","0.132348917114576","0.541907828428963","0.371572382565936","-0.303257845019834","-0.844191733457203","-0.496390616311007","-0.215312336379248","0.177955702654121","0.426086991663452","0.31822442494554","0.074108337048653","-0.034686608557915","-0.0227181739180659"
"19","Ctip2","midbrain","0.0239791680741945","0.302696091245141","0.0811122595238017","0.37570845153298","0.249542159706115","-0.287002506362729","-0.572327226186684","-0.116840966116752","-0.0440619726237538","0.0985569376821603","0.066961637798278","0.108115386240051","0.0303666817838608"
"20","Ctip2","hindbrain","0.150606894060632","-0.179712565769751","-0.194242371881346","0.300070030751665","0.419315097616719","0.385650267392388","-0.283040365606644","-0.565032882508209","-0.461369000511512","-0.125028962257947","0.122665010611543","0.14632818029602","0.229185897844228"
"21","Cux1","telencephalon","-0.027713570822395","0.0602674463964638","0.262918867670584","0.288151876509353","0.228367979574624","-0.39122333893955","-0.719655157764256","-0.576813966804412","-0.116635090686636","0.623018035725323","0.549925056158712","0.26390766729432","-0.166072145837294"
"22","Cux1","diencephalon","-0.196283005778154","-0.189586109080183","0.188115081337782","0.406141684320709","0.407697292557019","-0.0150038905905293","-0.224028407113048","-0.458528448815529","-0.0766532526514171","0.425404309216372","-0.287443533246875","-0.0608077415927805","0.206543080401265"
"23","Cux1","midbrain","-0.265056062653289","0.130432254822989","0.194193955718573","0.294810294078029","-0.0727096308192952","-0.614440656991856","0.592695955894694","-0.306408563891794","0.105881014092365","0.0568394549230157","-0.255120064949512","0.256162441467786","-0.104514013189101"
"24","Cux1","hindbrain","-0.324755968211976","-0.224384299438235","-0.210871822835652","-0.0145777611590459","0.540842930690082","0.713739629314172","0.593393761290488","0.204939698624502","-0.350179468811449","-0.517155655227803","-0.375139381926053","-0.0901692297334945","0.0943474082594837"
"25","Dcx","telencephalon","0.414760072921424","0.457629222496845","0.168437655614578","-0.214450697564349","-0.645072096186888","-0.794529412056919","-0.461225237867859","-0.124006473063552","0.289710643941555","0.277913571223065","0.321188164195847","0.139576268385019","0.046289467405694"
"26","Dcx","diencephalon","0.391389311753574","0.546981657412647","0.285841538673254","-0.224569453364306","-0.655067932399732","-0.772106591392904","-0.534760971785033","-0.26960617934738","0.202413231505418","0.277309623343301","0.337103256922996","0.172433079121326","0.110157704255583"
"27","Dcx","midbrain","-0.216330179563165","0.134487523495208","0.0462897591774498","0.418777558190023","0.425389854372042","0.0277015668059179","-0.298839764710521","-0.549797885837914","-0.495667066276743","-0.136132779983381","0.129098181791503","0.248802564890937","0.220629332521517"
"28","Dcx","hindbrain","-0.119489531835372","-0.0811851441263377","0.291405516862251","-0.137747225340641","0.257730038343616","-0.0168293682765612","0.169506046877658","-0.338922842231407","-0.0901835525348977","-0.14383876099199","0.057243643909148","0.049145885128464","0.0778854507868851"
"29","F4","telencephalon","-0.0983958062932196","-0.22281071373031","-0.411297018501629","-0.390400203239665","0.0432082816481619","0.421139113899368","0.782577066460395","0.42404564179515","0.343265791714789","0.141772508503251","-0.186065244156131","-0.354530624975825","-0.266848804225781"
"30","F4","diencephalon","0.375255261720973","0.431863046706952","0.02909703666613","-0.533782292787188","-0.481609562726948","-0.442712723486444","-0.181568636935649","-0.255559039391399","0.158127271807659","0.402270432785539","0.221392551985032","0.0465916903982622","0.109637728423152"
"31","F4","midbrain","0.198101165110917","0.223153985498764","0.112529889066832","-0.075207621750402","-0.234833116333417","-0.536915632161023","-0.629344945531203","-0.298351065690078","0.261135658758642","0.65196952740473","0.570090847933887","0.131010433088772","-0.268315278173366"
"32","F4","hindbrain","0.148728947894058","0.322451393222865","0.271862700262861","-0.0898712438832879","-0.452564137941931","-0.735293877222734","-0.144822117164659","-0.00207749815465583","-0.131085624388209","0.166293186804406","0.42038389481755","0.159073882671217","0.0221157649669338"
"33","GAD65","telencephalon","0.408623346951043","0.47361197440005","0.00709231942827925","-0.541954054278457","-0.758340296036966","-0.592751169809969","-0.224314048881233","0.277780452775083","0.481848837543025","0.333801727713941","0.170206724642541","0.0151132320707854","-0.103444823542924"
"34","GAD65","diencephalon","0.410938817567908","0.584039269803822","0.322162728487098","-0.197157676854008","-0.683568276628843","-0.848805586421555","-0.70547132318256","-0.23887634058517","0.142079635708906","0.350978754471501","0.371473794367309","0.243998521244195","0.0889878299910662"
"35","GAD65","midbrain","0.230969786077124","0.352587895535852","0.41442262737089","0.22583769754313","-0.145632681174571","-0.709758075679227","-0.838238357544417","-0.333357293987548","0.023905959037743","0.146953622685861","0.227738150495351","0.215298916767453","0.195198382013932"
"36","GAD65","hindbrain","0.154638060435455","0.239868991091974","0.123949300402041","0.23137280718698","0.300775376966729","-0.0616822352541878","-0.655945841189511","-0.816559873684719","-0.59032408845769","-0.12960611240127","0.222984943291797","0.388626988066555","0.36282269355456"
"37","GFAP","telencephalon","-0.197291205085623","-0.240044076885275","-0.245874389495113","-0.212925165943246","-0.0833418130747835","0.186254889863556","0.815305670230797","0.618238558900508","0.424801870765515","0.199525557098481","-0.0458502941610237","-0.287037626102381","-0.409606187111754"
